user_idx,recourse,cost,is_it_valid,length,mixture_class,model_score
0,True,299.2239930052539,1.0,4,5,0.1715309
1,False,887.6536692699206,1.0,5,5,0.10756233
2,False,290.18249811801536,1.0,5,2,0.04125648
3,True,262.73449357247523,1.0,4,1,0.1387967
4,False,515.747399145873,1.0,5,3,0.056782506
5,False,126.6857088557046,1.0,5,4,0.1688107
6,True,278.19633914572603,1.0,4,3,0.13363743
7,True,272.7626931524448,1.0,5,1,0.10413679
8,False,400.26271869913046,1.0,5,1,0.038306
9,False,560.6856242557253,1.0,5,4,0.029736254
10,False,282.2122093601358,1.0,5,1,0.04441271
11,True,314.7816755715289,1.0,4,5,0.15758882
12,False,570.9086124614536,1.0,4,0,0.01726184
13,False,282.01890032502865,1.0,6,0,0.05988306
14,True,416.45879879359893,1.0,5,0,0.11171148
15,True,274.71255941989125,1.0,6,2,0.08542881
16,False,576.8909348637148,1.0,5,3,0.055817436
17,False,329.9135444806989,1.0,4,4,0.0433057
18,True,353.2179550445981,1.0,6,2,0.097436845
19,False,703.4469338306983,1.0,5,5,0.052044693
20,True,362.47066434989864,1.0,4,5,0.099595815
21,False,409.90770469771684,1.0,5,1,0.032427475
22,False,201.2373444755355,1.0,3,2,0.014490296
23,False,360.9435137039042,1.0,6,2,0.033596642
24,False,347.9151668589871,1.0,6,1,0.024354324
25,True,165.98853873940615,1.0,3,1,0.17935656
26,True,542.7026977535859,1.0,6,4,0.049359225
27,False,349.552964487068,1.0,5,3,0.03236979
28,False,354.5918910305107,1.0,5,4,0.045118753
29,True,281.10316636679687,1.0,5,1,0.087735854
30,False,355.5027987634122,1.0,5,1,3.6632343e-06
31,True,116.08784592896691,1.0,3,2,0.18246707
32,False,279.9520500535536,1.0,6,2,0.024228636
33,True,252.61005467096908,1.0,4,2,0.17272238
34,False,440.2243334346564,1.0,6,3,0.06541541
35,True,419.1483642400388,1.0,6,3,0.060269065
36,True,464.67835513146554,1.0,6,0,0.05361135
37,True,435.5039335291941,1.0,5,4,0.1350747
38,True,272.0539778562341,1.0,6,2,0.09687487
39,False,352.4123953112676,1.0,5,1,3.5330493e-06
40,False,262.4598230574756,1.0,6,2,0.022637006
41,True,274.7118370191019,1.0,5,4,0.08996412
42,True,181.66673756179347,1.0,5,0,0.100202695
43,True,361.432129988256,1.0,5,1,0.06835926
44,True,147.8714883177979,1.0,4,0,0.113389626
45,False,671.4994060733084,1.0,5,5,0.03247336
46,True,136.11140808929503,1.0,3,2,0.18949221
47,True,359.63374847664824,1.0,4,5,0.09466532
48,True,342.3205740412127,1.0,5,4,0.14692584
49,True,266.21829307190416,1.0,4,1,0.13996758
50,False,518.834993709739,1.0,6,3,0.021586472
51,False,263.81412930274576,1.0,5,1,0.04860466
52,True,262.28806031104256,1.0,4,1,0.11685561
53,True,178.7458929515726,1.0,4,0,0.17630209
54,False,628.6460842752929,1.0,5,5,0.053863663
55,False,204.90210798301834,1.0,5,2,0.025131345
56,True,311.31484264316566,1.0,6,2,0.046182767
57,False,243.67668963204062,1.0,5,0,0.043071944
58,False,532.1444308590743,1.0,5,4,0.06259036
59,True,176.8761909905312,1.0,3,4,0.17829613
60,True,172.66187799887257,1.0,3,1,0.18033126
61,False,837.9713874458521,1.0,6,5,0.023801235
62,False,220.05063953104795,1.0,3,3,0.02977738
63,False,44.82556973540897,1.0,3,2,0.03507945
64,True,369.522663825764,1.0,4,5,0.16028927
65,False,528.4682460756401,1.0,4,4,0.022740051
66,False,251.65717601436342,1.0,4,0,0.024648966
67,True,253.256001661762,1.0,4,3,0.15627857
68,False,477.3522610324678,1.0,5,5,0.079099245
69,False,237.98079083693898,1.0,5,0,0.048585106
70,True,287.32675180349247,1.0,4,1,0.16535622
71,False,691.8027851477925,1.0,5,5,3.6846386e-06
72,False,453.3004943840351,1.0,6,3,0.043118175
73,False,326.3141270817623,1.0,4,2,0.065587305
74,True,379.409207668999,1.0,5,1,0.10196678
75,True,507.75886290703045,1.0,6,4,0.055011433
76,False,418.3943586472729,1.0,4,4,0.06590541
77,True,280.59232184451224,1.0,6,1,0.08318069
78,True,293.67738820462586,1.0,4,1,0.17268369
79,True,172.26775915614866,1.0,4,0,0.15782496
80,True,425.2253229300551,1.0,5,0,0.14358589
81,False,632.4187406784538,1.0,6,5,0.061892424
82,True,354.7731782661799,1.0,4,0,0.13919087
83,False,311.4784455699824,1.0,5,4,0.0495892
84,True,106.50463446725007,1.0,3,3,0.19065918
85,False,661.1942534687855,1.0,5,5,0.049372226
86,True,191.66551179382856,1.0,4,1,0.14892691
87,True,258.87974980174033,1.0,6,3,0.051771514
88,False,500.8638201245611,1.0,6,3,0.018058581
89,True,292.5445723530855,1.0,4,1,0.14889802
90,False,534.8443174314052,1.0,5,4,3.590871e-06
91,True,373.62336772205776,1.0,6,1,0.05446273
